# Onda Corporation
# Hydrophone Preamplifier Calibration Data
#
FILE_NAME AG-A2010-20-060-1132_151117.txt
#
AMP_CAL_DATE 17-Nov-2015
AMP_MFG ONDA
AMP_MODEL AG-A2010
AMP_SN 1132
AMP_GAIN_NOM_DB 20
AMP_BW_NOM_MHZ 060
AMP_OUTPUT_IMP_NOM_OHMS 50
AMP_INPUT_CAP_NOM_PF 6.2 
AMP_INPUT_CAP_DATA_TYPE CALIBRATED
AMP_GAIN_UNCERT_DB 0.03
AMP_CAP_UNCERT_PCT 2.5
#
# Calibration Data
# Freq(MHz) Gain(dB) Phase(deg) Cap(pF)
#
DATA_FIELDS 4
DATA_FIELD FREQ_MHZ
DATA_FIELD GAIN_DB
DATA_FIELD PHASE_DEG
DATA_FIELD CAP_PF
#
# End of file header
HEADER_END 0
000.050 19.50 21.27 6.18
000.051 19.51 20.73 6.18
000.052 19.52 20.18 6.18
000.053 19.51 19.77 6.18
000.054 19.50 19.37 6.18
000.055 19.50 19.00 6.18
000.056 19.51 18.64 6.18
000.057 19.52 18.29 6.18
000.058 19.51 17.95 6.18
000.059 19.49 17.61 6.18
000.060 19.49 17.35 6.18
000.061 19.50 17.18 6.18
000.062 19.50 17.00 6.18
000.063 19.50 16.71 6.18
000.064 19.50 16.42 6.18
000.065 19.50 16.15 6.18
000.066 19.50 15.90 6.18
000.067 19.51 15.65 6.18
000.068 19.50 15.50 6.18
000.069 19.50 15.35 6.18
000.070 19.51 15.21 6.18
000.071 19.53 15.06 6.18
000.072 19.55 14.90 6.18
000.073 19.55 14.69 6.18
000.074 19.55 14.47 6.18
000.075 19.56 14.32 6.18
000.076 19.57 14.21 6.18
000.077 19.57 14.07 6.18
000.078 19.58 13.85 6.18
000.079 19.59 13.62 6.18
000.080 19.60 13.52 6.18
000.081 19.60 13.47 6.18
000.082 19.61 13.40 6.18
000.083 19.63 13.24 6.18
000.084 19.64 13.08 6.18
000.085 19.65 12.90 6.18
000.086 19.65 12.70 6.18
000.087 19.65 12.54 6.18
000.088 19.66 12.43 6.18
000.089 19.67 12.33 6.18
000.090 19.69 12.22 6.18
000.091 19.72 12.09 6.18
000.092 19.73 11.95 6.18
000.093 19.73 11.76 6.18
000.094 19.72 11.57 6.18
000.095 19.73 11.45 6.18
000.096 19.75 11.35 6.18
000.097 19.76 11.23 6.18
000.098 19.76 11.06 6.18
000.099 19.77 10.90 6.18
000.100 19.66 13.42 6.18
000.110 19.70 12.26 6.18
000.120 19.76 11.26 6.18
000.130 19.79 10.29 6.18
000.140 19.79 9.54 6.18
000.150 19.81 8.81 6.18
000.160 19.83 8.18 6.18
000.170 19.86 7.73 6.18
000.180 19.85 7.30 6.18
000.190 19.85 6.79 6.18
000.200 19.86 6.28 6.18
000.210 19.87 6.00 6.18
000.220 19.88 5.70 6.18
000.230 19.88 5.39 6.18
000.240 19.89 5.14 6.18
000.250 19.89 4.73 6.18
000.260 19.89 4.59 6.18
000.270 19.89 4.44 6.18
000.280 19.89 4.10 6.18
000.290 19.89 3.91 6.18
000.300 19.90 3.80 6.18
000.310 19.90 3.52 6.18
000.320 19.90 3.39 6.18
000.330 19.91 3.20 6.18
